gene	gene_name
ENSG00000102934.10	PLLP
ENSG00000102962.5	CCL22
ENSG00000102967.12	DHODH
ENSG00000102970.10	CCL17
ENSG00000102977.16	ACD
ENSG00000102978.13	POLR2C
ENSG00000102981.9	PARD6A
ENSG00000102996.5	MMP15
ENSG00000103005.11	USB1
ENSG00000103021.9	CCDC113
ENSG00000103023.11	PRSS54
ENSG00000103024.7	NME3
ENSG00000103035.11	PSMD7
ENSG00000103037.11	SETD6
ENSG00000103042.9	SLC38A7
ENSG00000103044.11	HAS3
ENSG00000103056.12	SMPD3
ENSG00000103064.15	SLC7A6
ENSG00000103066.13	PLA2G15
ENSG00000103089.9	FA2H
ENSG00000103121.8	CMC2
ENSG00000185615.15	PDIA2
ENSG00000242173.10	ARHGDIG
ENSG00000103152.11	MPG
ENSG00000103160.12	HSDL1
ENSG00000103175.11	WFDC1
ENSG00000103194.15	USP10
ENSG00000103197.18	TSC2
ENSG00000103199.13	ZNF500
ENSG00000103202.13	NME4
ENSG00000242612.7	DECR2
ENSG00000103254.10	FAM173A
ENSG00000103260.9	METRN
ENSG00000103266.11	STUB1
ENSG00000103269.13	RHBDL1
ENSG00000103313.12	MEFV
ENSG00000103316.11	CRYM
ENSG00000103326.12	CAPN15
ENSG00000103375.11	AQP8
ENSG00000103404.14	USP31
ENSG00000103415.12	HMOX2
ENSG00000103460.17	TOX3
ENSG00000103485.19	QPRT
ENSG00000103495.14	MAZ
ENSG00000103502.14	CDIPT
ENSG00000103507.14	BCKDK
ENSG00000103510.20	KAT8
ENSG00000103534.17	TMC5
ENSG00000103546.18	SLC6A2
ENSG00000103550.14	KNOP1
ENSG00000174197.16	MGA
ENSG00000103569.9	AQP9
ENSG00000103653.16	CSK
ENSG00000103707.10	MTFMT
ENSG00000103710.11	RASL12
ENSG00000103811.16	CTSH
ENSG00000103888.17	CEMIP
ENSG00000103966.11	EHD4
ENSG00000104055.15	TGM5
ENSG00000104064.17	GABPB1
ENSG00000104112.9	SCG3
ENSG00000104129.10	DNAJC17
ENSG00000104140.7	RHOV
ENSG00000104142.11	VPS18
ENSG00000104147.9	OIP5
ENSG00000104164.10	BLOC1S6
ENSG00000012232.8	EXTL3
ENSG00000079459.13	FDFT1
ENSG00000123908.12	AGO2
ENSG00000076641.4	PAG1
ENSG00000042832.12	TG
ENSG00000104221.12	BRF2
ENSG00000104231.11	ZFAND1
ENSG00000104237.10	RP1
ENSG00000104312.8	RIPK2
ENSG00000104324.16	CPQ
ENSG00000104325.7	DECR1
ENSG00000104332.12	SFRP1
ENSG00000104368.17	PLAT
ENSG00000104371.5	DKK4
ENSG00000104381.12	GDAP1
ENSG00000129292.20	PHF20L1
ENSG00000104408.9	EIF3E
ENSG00000104412.8	EMC2
ENSG00000104415.14	CCN4
ENSG00000104435.13	STMN2
ENSG00000104447.12	TRPS1
ENSG00000104472.10	CHRAC1
ENSG00000104490.18	NCALD
ENSG00000104499.6	GML
ENSG00000104517.13	UBR5
ENSG00000104524.14	PYCR3
ENSG00000104643.10	MTMR9
ENSG00000104671.8	DCTN6
ENSG00000104687.14	GSR
ENSG00000104689.9	TNFRSF10A
ENSG00000104695.13	PPP2CB
ENSG00000104722.14	NEFM
